dropoff_date,zone_id,num_trips,avg_fare
2024-10-24,254,12,39.96
2024-10-26,222,13,26.75
2024-05-01,106,23,51.88
2024-05-02,261,677,27.31
2024-05-03,257,47,50.9
2024-05-04,227,21,49.36
2024-05-06,230,3392,23.24
2024-05-09,258,27,35.76
2024-05-13,217,72,37.66
2024-05-13,205,57,33.14
2024-05-22,208,10,41.16
2024-05-23,230,3730,22.01
2024-05-26,261,572,22.29
2024-05-27,240,5,49.83
2024-05-31,262,1805,15.91
2024-06-01,177,36,37.59
2024-10-02,200,28,56.0
2024-10-04,51,14,50.79
2024-10-04,193,88,12.14
2024-10-05,40,116,34.94
2024-10-05,100,1198,17.81
2024-10-05,180,19,22.07
2024-10-07,145,276,25.23
2024-10-08,69,27,37.25
2024-10-08,20,8,26.45
2024-10-11,188,122,35.04
2024-10-12,183,2,45.76
2024-10-12,11,5,58.87
2024-10-14,79,1851,16.74
2024-10-13,11,7,59.85
2024-10-15,50,1240,16.96
2024-10-14,3,10,37.73
2024-10-15,140,2872,15.66
2024-10-15,21,12,50.16
2024-10-17,193,100,19.41
2024-10-18,148,1572,19.73
2024-10-20,93,86,16.5
2024-10-22,109,1,67.4
2024-10-23,167,26,28.99
2024-10-24,125,764,20.24
2024-10-23,5,1,102.4
2024-10-24,36,81,33.66
2024-10-25,33,354,35.49
2024-10-26,3,6,54.84
2024-10-27,186,1892,17.13
2024-10-29,14,84,48.59
2024-10-29,168,55,30.66
2024-10-30,95,169,34.93
2024-10-30,155,40,38.12
2024-10-30,89,118,44.91
2024-10-31,41,879,20.48
2024-10-31,139,28,31.68
2024-10-31,180,20,30.66
2024-11-01,83,33,25.68
2024-05-02,39,63,37.06
2024-05-04,66,193,26.56
2024-05-10,158,1495,16.59
2024-05-11,131,18,38.11
2024-05-13,195,35,35.41
2024-05-15,82,65,32.27
2024-05-15,106,62,39.55
2024-05-16,137,1673,15.17
2024-05-19,71,48,36.13
2024-05-21,48,2595,18.69
2024-05-21,170,3706,16.1
2024-05-23,200,44,58.64
2024-05-24,69,39,37.68
2024-05-26,74,746,16.77
2024-05-28,68,2349,17.71
2024-05-28,180,22,27.65
2024-05-29,162,3740,16.63
2024-05-30,190,7,48.95
2024-10-01,223,112,31.82
2024-10-02,247,29,34.37
2024-10-05,262,1665,16.25
2024-10-19,223,153,29.67
2024-10-21,140,2520,16.74
2024-10-21,201,12,59.65
2024-10-22,209,287,28.66
2024-05-04,141,3328,14.07
2024-05-03,207,16,7.91
2024-05-04,264,610,19.86
2024-05-04,137,1864,13.37
2024-05-04,188,81,39.86
2024-05-04,108,9,57.69
2024-05-09,260,68,29.62
2024-05-15,257,45,49.92
2024-05-17,264,651,18.31
2024-05-20,251,2,89.77
2024-05-22,241,16,42.65
2024-05-28,244,306,30.04
2024-10-02,83,24,37.26
2024-10-05,4,742,16.38
2024-10-05,69,24,26.96
2024-10-06,24,353,18.09
2024-10-07,80,100,35.47
2024-10-08,107,2057,15.12
2024-10-10,126,10,31.88
2024-10-10,53,17,43.04
2024-10-13,166,722,19.85
2024-10-14,8,1,42.2
2024-10-15,177,40,40.85
2024-10-15,58,4,63.38
2024-10-17,119,18,49.23
2024-10-18,166,934,19.36
2024-10-18,139,23,32.41
2024-10-18,57,1,26.8
2024-10-19,17,149,35.1
2024-10-19,168,64,34.14
2024-10-19,121,25,38.07
2024-10-19,51,31,39.48
2024-10-21,56,38,27.25
2024-10-24,179,126,29.41
2024-10-24,32,8,68.09
2024-10-26,52,105,35.87
2024-10-26,193,81,21.83
2024-10-26,47,12,29.45
2024-10-27,46,7,49.85
2024-10-28,150,16,41.49
2024-10-29,25,198,41.49
2024-10-29,165,64,38.92
2024-10-30,61,210,38.77
2024-10-30,185,21,33.84
2024-11-01,124,25,35.4
2024-05-03,90,1823,15.01
2024-05-03,35,48,36.08
2024-05-06,91,50,43.15
2024-05-07,143,1709,15.49
2024-05-08,97,155,35.61
2024-05-08,130,75,32.45
2024-05-09,163,3544,17.76
2024-05-12,211,1092,16.32
2024-05-11,46,5,57.84
2024-05-13,100,1500,19.75
2024-05-13,171,24,31.79
2024-05-13,71,34,38.19
2024-05-14,90,1678,17.22
2024-05-14,52,80,36.04
2024-05-16,95,187,33.69
2024-05-17,106,55,40.6
2024-05-17,86,29,39.71
2024-05-19,107,2413,15.55
2024-05-21,123,28,54.52
2024-05-26,196,43,24.72
2024-05-27,82,78,27.58
2024-05-28,197,69,28.63
2024-05-29,186,2542,15.82
2024-05-30,22,32,52.11
2024-06-01,186,2720,15.45
2024-10-11,249,2421,14.16
2024-10-11,251,2,87.7
2024-10-14,234,2176,14.62
2024-10-14,218,42,21.45
2024-10-15,207,25,6.04
2024-10-17,264,502,20.39
2024-10-28,234,2462,15.28
2024-10-30,205,49,26.89
2024-05-01,183,5,49.26
2024-05-03,229,2513,14.16
2024-05-07,252,15,36.51
2024-05-09,255,258,37.92
2024-05-09,263,2620,16.04
2024-05-09,227,26,52.16
2024-05-12,166,893,20.61
2024-05-16,227,31,39.64
2024-05-21,217,56,37.97
2024-05-26,214,2,83.5
2024-10-02,37,86,38.33
2024-10-02,131,20,46.16
2024-10-03,21,6,65.07
2024-10-05,45,438,18.03
2024-10-07,169,12,35.47
2024-10-08,172,2,123.55
2024-10-08,96,2,44.3
2024-10-09,128,8,38.22
2024-10-12,146,107,25.21
2024-10-12,64,12,46.88
2024-10-12,5,1,125.5
2024-10-13,54,25,40.64
2024-10-14,50,1128,15.3
2024-10-14,102,28,33.8
2024-10-15,155,42,44.27
2024-10-16,95,164,31.58
2024-10-16,173,17,21.3
2024-10-17,115,2,69.35
2024-10-18,18,20,47.64
2024-10-20,1,460,91.91
2024-10-20,175,18,43.4
2024-10-22,232,470,21.02
2024-10-26,78,15,34.47
2024-10-26,12,98,22.84
2024-10-29,141,3436,14.85
2024-10-29,113,1691,16.07
2024-10-30,69,31,36.93
2024-11-01,180,24,28.97
2024-11-01,174,19,39.26
2024-05-02,86,48,46.29
2024-05-02,153,6,51.53
2024-05-02,2,1,37.3
2024-05-04,26,14,42.57
2024-05-06,9,8,36.85
2024-05-07,12,53,27.72
2024-05-11,166,947,22.28
2024-05-11,11,4,45.93
2024-05-14,93,51,37.16
2024-05-17,111,1,105.2
2024-05-22,43,1666,14.66
2024-05-22,76,90,31.14
2024-05-23,65,211,37.45
2024-05-24,114,1046,15.17
2024-05-25,168,54,29.19
2024-05-28,38,30,38.94
2024-05-28,54,21,43.01
2024-05-28,214,1,93.3
2024-05-31,29,29,47.26
2024-10-11,262,1925,15.98
2024-10-12,262,1844,16.03
2024-10-17,257,49,51.56
2024-10-19,239,3271,15.96
2024-10-20,250,7,28.54
2024-10-21,221,2,89.1
2024-10-22,202,78,32.23
2024-10-24,259,20,49.28
2024-10-28,252,31,43.43
2024-10-30,211,1083,18.46
2024-10-30,254,20,50.33
2024-05-05,41,920,20.96
2024-05-12,240,12,43.62
2024-05-14,228,53,45.96
2024-05-14,248,6,43.56
2024-05-15,246,2716,17.97
2024-05-15,203,29,29.71
2024-05-21,202,52,29.38
2024-05-25,224,372,15.81
2024-05-26,226,186,23.85
2024-10-03,41,564,19.86
2024-10-04,177,33,31.43
2024-10-06,191,20,24.3
2024-10-06,85,31,32.63
2024-10-06,38,23,37.52
2024-10-06,150,11,33.68
2024-10-10,29,21,45.76
2024-10-12,77,17,33.89
2024-10-15,40,92,48.42
2024-10-15,53,24,37.22
2024-10-17,62,57,41.34
2024-10-19,54,37,36.85
2024-10-20,177,52,33.91
2024-10-21,87,871,28.3
2024-10-21,155,41,39.55
2024-10-26,96,6,49.51
2024-10-27,91,68,35.62
2024-10-28,50,1012,16.86
2024-10-28,29,29,49.55
2024-10-28,101,15,44.48
2024-10-29,8,2,21.2
2024-10-31,161,4720,16.03
2024-10-31,97,161,34.91
2024-10-31,24,447,16.88
2024-05-05,4,607,16.82
2024-05-06,193,105,11.2
2024-05-06,78,17,44.44
2024-05-08,8,2,25.75
2024-05-10,148,1600,19.18
2024-05-11,91,25,36.89
2024-05-12,121,21,40.75
2024-05-13,42,439,24.63
2024-05-14,132,1286,59.4
2024-05-14,14,72,50.32
2024-05-15,67,17,70.48
2024-05-16,89,118,40.88
2024-05-16,157,38,32.94
2024-05-16,6,1,0.01
2024-05-19,133,41,37.3
2024-05-21,96,3,38.47
2024-05-24,142,2979,14.27
2024-05-24,71,36,36.86
2024-05-24,80,145,33.1
2024-05-24,94,14,43.19
2024-05-30,7,273,26.78
2024-10-01,9,11,37.27
2024-10-02,113,1453,15.77
2024-10-07,242,26,31.97
2024-10-10,223,129,33.84
2024-10-16,223,146,30.27
2024-10-16,210,28,46.08
2024-10-17,222,17,30.73
2024-10-18,203,24,24.29
2024-10-24,262,2058,17.2
2024-10-27,238,2337,17.43
2024-10-27,219,55,21.76
2024-10-29,216,158,31.66
2024-10-30,242,20,39.71
2024-05-01,90,1552,14.58
2024-05-03,236,5978,13.67
2024-05-03,206,4,79.13
2024-05-07,213,33,38.37
2024-05-07,203,18,38.93
2024-05-12,239,3396,15.68
2024-05-21,181,268,40.82
2024-05-21,253,1,41.5
2024-05-24,247,43,32.78
2024-10-02,24,343,16.59
2024-10-03,121,14,36.09
2024-10-03,94,2,24.7
2024-10-04,68,2800,15.54
2024-10-04,191,22,31.74
2024-10-04,183,1,49.2
2024-10-06,65,183,34.16
2024-10-06,200,19,63.3
2024-10-07,164,2349,22.27
2024-10-07,77,17,28.63
2024-10-09,65,173,35.64
2024-10-09,84,3,118.5
2024-10-09,187,1,82.8
2024-10-11,23,5,82.86
2024-10-12,133,29,48.3
2024-10-12,73,9,27.5
2024-10-12,174,7,52.86
2024-10-13,25,215,35.94
2024-10-13,40,115,46.21
2024-10-14,190,10,48.92
2024-10-15,100,1715,19.31
2024-10-16,67,16,55.06
2024-10-16,143,2002,15.73
2024-10-19,179,117,26.41
2024-10-20,116,364,27.3
2024-10-20,88,473,23.5
2024-10-20,129,207,28.32
2024-10-20,153,2,25.75
2024-10-21,52,73,44.11
2024-10-22,124,38,23.6
2024-10-23,4,350,17.83
2024-10-23,15,21,41.6
2024-10-25,72,43,29.4
2024-10-28,135,53,29.36
2024-10-28,51,30,38.14
2024-10-28,46,3,76.5
2024-11-01,7,328,27.68
2024-05-02,170,3885,15.88
2024-05-02,179,86,28.4
2024-05-05,132,1758,62.2
2024-05-05,22,19,43.44
2024-05-06,130,70,32.5
2024-05-06,149,20,46.91
2024-05-06,153,9,46.33
2024-05-07,183,3,41.33
2024-05-13,55,34,41.67
2024-05-13,64,10,46.03
2024-05-14,153,5,37.18
2024-05-15,64,11,67.65
2024-05-15,160,44,33.19
2024-05-17,144,1483,18.11
2024-05-26,128,12,33.52
2024-05-29,133,33,41.12
2024-05-30,89,103,44.33
2024-05-22,253,1,50.29
2024-10-01,131,19,38.42
2024-10-01,44,2,101.2
2024-10-03,257,48,46.28
2024-10-04,225,89,38.17
2024-10-04,248,12,31.52
2024-10-08,205,46,30.01
2024-10-09,198,56,35.13
2024-10-13,260,82,22.66
2024-10-13,247,33,35.13
2024-10-19,248,9,36.92
2024-10-23,220,40,46.21
2024-10-24,219,62,26.02
2024-10-29,215,32,22.13
2024-05-01,166,853,17.64
2024-05-01,125,596,18.52
2024-05-01,144,955,18.7
2024-05-01,70,66,24.96
2024-05-02,231,2435,20.9
2024-05-04,249,3183,13.44
2024-05-04,157,43,26.83
2024-05-04,134,34,28.11
2024-05-04,135,16,30.02
2024-05-05,241,25,48.07
2024-05-06,248,10,42.28
2024-05-11,252,25,35.53
2024-05-17,205,43,33.98
2024-05-18,208,21,25.99
2024-05-18,252,19,36.01
2024-05-20,226,173,27.7
2024-05-21,224,382,17.0
2024-05-24,258,34,26.24
2024-05-24,215,30,26.39
2024-05-30,247,45,27.53
2024-10-01,96,7,40.2
2024-10-02,191,46,42.7
2024-10-03,60,10,23.5
2024-10-05,162,2789,16.01
2024-10-05,83,30,28.87
2024-10-05,51,18,40.88
2024-10-05,111,1,52.0
2024-10-06,21,19,49.6
2024-10-09,22,24,37.18
2024-10-09,136,5,40.56
2024-10-09,15,10,43.05
2024-10-10,178,11,59.07
2024-10-11,127,109,36.58
2024-10-12,51,15,41.35
2024-10-13,72,46,35.89
2024-10-14,161,3329,17.1
2024-10-15,126,14,43.98
2024-10-16,175,15,40.24
2024-10-16,120,14,37.32
2024-10-17,83,29,25.77
2024-10-18,182,14,54.12
2024-10-19,214,3,29.93
2024-10-21,182,9,46.29
2024-10-21,55,38,46.05
2024-10-22,38,37,30.94
2024-10-23,178,6,45.9
2024-10-26,95,153,30.61
2024-10-28,93,59,19.79
2024-10-29,106,42,37.8
2024-10-30,68,3289,16.6
2024-10-30,84,1,33.5
2024-05-02,98,33,32.42
2024-05-04,56,32,31.83
2024-05-05,164,2665,18.51
2024-05-07,59,1,38.0
2024-05-09,92,71,32.64
2024-05-12,70,74,25.47
2024-05-12,76,73,33.92
2024-05-13,48,2371,19.77
2024-05-16,112,267,34.1
2024-05-16,194,6,13.22
2024-05-17,23,3,104.73
2024-05-18,78,20,36.1
2024-05-18,20,46,45.17
2024-05-19,188,122,39.19
2024-05-20,183,3,41.08
2024-05-21,75,1450,16.29
2024-05-22,142,3751,14.89
2024-05-23,153,8,42.85
2024-05-23,23,6,113.72
2024-05-24,180,19,40.67
2024-05-24,156,3,27.37
2024-05-25,197,58,30.09
2024-05-25,9,8,33.23
2024-05-25,200,19,62.0
2024-05-25,38,10,39.38
2024-05-27,127,74,38.08
2024-05-28,167,15,33.53
2024-05-28,51,29,46.66
2024-05-29,31,3,49.9
2024-05-29,44,1,200.0
2024-05-31,168,82,29.12
2024-05-31,57,2,61.21
2024-05-15,204,1,103.98
2024-10-05,218,28,22.88
2024-10-08,265,525,91.2
2024-10-10,229,2895,15.18
2024-10-11,226,193,25.96
2024-10-15,224,469,17.22
2024-10-15,201,12,41.33
2024-10-30,230,4044,20.44
2024-10-30,248,13,30.63
2024-05-01,210,29,42.67
2024-05-03,222,13,38.86
2024-05-06,259,23,61.94
2024-05-06,207,14,4.65
2024-05-09,203,18,27.72
2024-05-10,198,62,34.61
2024-05-11,220,44,48.41
2024-05-13,218,39,25.7
2024-05-14,239,3716,15.87
2024-05-14,208,24,42.29
2024-05-14,202,50,33.44
2024-05-16,212,8,44.76
2024-05-18,242,22,29.29
2024-05-20,257,35,44.98
2024-05-21,237,6232,13.49
2024-05-21,260,77,21.81
2024-05-22,209,336,25.68
2024-05-22,245,3,73.0
2024-06-01,222,14,42.7
2024-10-06,87,1085,24.12
2024-10-07,41,561,23.03
2024-10-06,153,6,50.02
2024-10-08,5,1,124.1
2024-10-15,47,19,37.28
2024-10-16,50,1398,16.94
2024-10-16,148,1120,21.99
2024-10-17,163,3683,18.87
2024-10-17,151,1035,17.48
2024-10-18,4,559,17.97
2024-10-19,190,27,39.25
2024-10-21,97,132,37.0
2024-10-23,179,127,27.83
2024-10-23,182,23,38.16
2024-10-27,16,33,43.34
2024-10-28,160,28,31.55
2024-10-30,13,1099,24.14
2024-10-30,34,16,35.04
2024-10-30,21,15,42.44
2024-11-01,75,1682,15.7
2024-05-02,96,6,50.66
2024-05-03,82,57,30.35
2024-05-03,111,1,37.3
2024-05-05,73,12,43.52
2024-05-06,157,33,34.25
2024-05-08,183,8,27.65
2024-05-12,77,19,35.23
2024-05-12,207,1,12.1
2024-05-13,62,50,42.59
2024-05-14,39,63,31.18
2024-05-15,6,5,16.7
2024-05-15,74,862,19.69
2024-05-16,20,20,55.55
2024-05-16,197,60,34.75
2024-05-17,138,1751,44.34
2024-05-18,149,13,44.94
2024-05-19,78,18,30.07
2024-05-20,152,150,19.53
2024-05-20,60,6,25.85
2024-05-20,11,15,46.98
2024-05-24,185,12,39.93
2024-05-25,127,96,37.69
2024-05-26,87,825,21.61
2024-05-26,160,43,25.66
2024-05-28,138,1206,43.31
2024-05-28,95,171,31.77
2024-05-28,28,44,30.48
2024-05-30,90,1591,16.02
2024-10-04,243,185,34.32
2024-10-05,246,2383,15.84
2024-10-15,257,57,48.4
2024-10-15,202,72,32.75
2024-10-15,220,41,48.62
2024-10-16,215,40,19.95
2024-10-18,263,2606,15.25
2024-05-01,241,13,61.34
2024-05-02,203,23,32.17
2024-05-04,146,86,26.31
2024-05-04,127,126,36.13
2024-05-06,242,14,36.32
2024-05-08,240,4,47.64
2024-05-13,261,516,30.75
2024-05-14,206,2,102.6
2024-05-19,235,22,40.25
2024-05-22,232,607,20.88
2024-05-27,215,45,24.66
2024-05-30,214,2,74.75
2024-05-31,213,30,40.64
2024-10-02,59,1,-45.7
2024-10-05,3,10,27.09
2024-10-06,148,1440,18.23
2024-10-05,27,1,54.8
2024-10-06,117,6,36.55
2024-10-07,112,235,33.66
2024-10-10,161,6050,16.5
2024-10-10,174,10,50.71
2024-10-10,44,1,141.6
2024-10-11,38,14,34.18
2024-10-12,138,779,41.78
2024-10-15,49,161,38.64
2024-10-15,42,447,26.67
2024-10-15,127,120,35.85
2024-10-16,111,3,28.43
2024-10-17,183,7,52.71
2024-10-17,91,54,39.18
2024-10-20,28,61,24.87
2024-10-22,21,23,44.15
2024-10-23,37,98,35.29
2024-10-25,183,12,38.79
2024-10-25,117,24,51.56
2024-10-25,156,2,89.05
2024-10-27,161,3041,17.11
2024-10-28,155,37,47.2
2024-10-30,82,66,29.67
2024-10-31,49,142,36.41
2024-05-02,148,1252,20.74
2024-05-02,183,4,33.96
2024-05-05,134,32,33.11
2024-05-06,188,80,40.92
2024-05-07,150,4,52.47
2024-05-08,159,23,35.0
2024-05-08,190,21,42.43
2024-05-09,90,1822,16.3
2024-05-09,69,49,35.34
2024-05-12,125,584,18.25
2024-05-11,118,1,94.7
2024-05-12,117,24,45.41
2024-05-15,174,17,47.44
2024-05-18,155,30,50.56
2024-05-19,167,24,33.21
2024-05-20,150,17,47.61
2024-05-22,50,1347,16.81
2024-05-24,24,388,17.37
2024-05-25,49,123,32.96
2024-05-26,155,32,40.75
2024-05-27,106,25,39.09
2024-05-28,85,22,44.69
2024-05-29,194,8,18.14
2024-05-30,26,42,56.19
2024-05-31,47,20,29.46
2024-10-03,226,151,22.91
2024-10-08,249,1796,15.5
2024-10-10,248,8,37.11
2024-10-13,264,432,21.79
2024-10-18,208,23,44.8
2024-10-22,255,253,35.94
2024-10-23,222,10,44.79
2024-10-27,233,1782,17.21
2024-10-28,236,5888,13.81
2024-10-29,200,42,56.69
2024-10-29,227,27,53.03
2024-10-30,239,3758,16.05
2024-11-01,232,721,20.45
2024-05-02,213,28,36.76
2024-05-04,231,2493,17.59
2024-05-09,206,2,81.4
2024-05-11,248,5,39.94
2024-05-13,237,5706,13.32
2024-05-13,206,1,78.6
2024-05-18,216,113,28.27
2024-05-19,140,1747,15.98
2024-05-19,211,1187,16.31
2024-05-22,237,6708,13.25
2024-05-24,239,2889,15.3
2024-05-30,236,6601,14.32
2024-10-02,122,7,37.95
2024-10-02,119,11,42.95
2024-10-04,136,5,15.99
2024-10-05,70,66,30.32
2024-10-06,79,2890,15.62
2024-10-08,151,1018,16.42
2024-10-08,155,41,37.48
2024-10-09,13,1132,24.12
2024-10-09,150,14,43.38
2024-10-10,79,2566,16.59
2024-10-10,77,13,30.59
2024-10-12,55,22,37.13
2024-10-16,122,6,44.42
2024-10-17,47,10,37.08
2024-10-18,11,10,40.76
2024-10-19,72,35,30.33
2024-10-21,33,265,37.24
2024-10-23,194,23,32.04
2024-10-23,197,62,27.43
2024-10-25,192,10,32.76
2024-10-26,140,2146,15.28
2024-10-26,120,12,25.05
2024-10-26,22,24,38.09
2024-10-28,83,37,23.22
2024-10-29,131,32,39.56
2024-10-30,139,14,31.65
2024-10-31,125,859,19.12
2024-05-03,42,522,22.09
2024-05-04,51,25,51.0
2024-05-06,112,183,34.64
2024-05-06,128,10,48.78
2024-05-07,170,3555,16.18
2024-05-08,177,28,38.94
2024-05-08,75,1460,16.49
2024-05-11,10,95,26.45
2024-05-12,37,137,30.72
2024-05-15,182,13,41.03
2024-05-15,78,23,33.38
2024-05-16,221,1,82.8
2024-05-17,1,387,91.32
2024-05-18,55,46,54.3
2024-05-18,96,4,40.8
2024-05-19,1,466,88.94
2024-05-19,171,26,36.34
2024-05-21,97,150,35.32
2024-05-21,40,92,45.86
2024-05-21,185,15,45.28
2024-05-22,39,82,35.32
2024-05-25,158,1083,15.37
2024-05-25,31,15,43.83
2024-05-26,113,1003,15.0
2024-05-26,182,23,36.84
2024-05-26,31,8,42.67
2024-05-27,73,12,32.21
2024-05-27,64,16,45.41
2024-05-28,35,42,34.24
2024-05-29,68,2864,16.78
2024-05-29,120,5,58.6
2024-05-30,159,26,37.8
2024-10-02,42,377,25.97
2024-10-05,190,19,31.04
2024-10-04,235,14,38.75
2024-10-05,247,76,29.56
2024-10-09,219,58,22.65
2024-10-10,210,29,46.85
2024-10-11,265,565,102.89
2024-10-13,244,403,29.26
2024-10-15,233,1917,17.85
2024-10-17,238,2888,16.76
2024-10-17,244,395,30.31
2024-10-18,226,196,29.35
2024-10-21,256,189,36.64
2024-10-23,209,315,26.62
2024-10-27,264,554,21.55
2024-10-31,201,15,50.11
2024-11-01,205,44,32.78
2024-05-01,13,1053,23.88
2024-05-01,3,11,58.78
2024-05-06,211,728,18.58
2024-05-06,241,19,54.95
2024-05-08,256,209,34.34
2024-05-10,219,52,21.37
2024-05-16,255,250,34.72
2024-05-17,240,6,48.88
2024-05-18,259,13,59.11
2024-05-22,249,1935,14.68
2024-10-02,86,28,43.82
2024-10-03,65,156,40.37
2024-10-03,106,24,44.36
2024-10-04,149,8,52.77
2024-10-06,95,164,31.03
2024-10-09,172,1,78.6
2024-10-10,14,93,47.36
2024-10-10,57,2,55.85
2024-10-15,87,1065,27.14
2024-10-14,5,1,98.2
2024-10-17,181,371,41.61
2024-10-19,186,3006,16.26
2024-10-21,66,138,34.78
2024-10-22,87,908,26.07
2024-10-22,193,87,17.27
2024-10-24,260,76,29.41
2024-10-25,147,7,35.47
2024-10-26,89,139,41.07
2024-10-27,24,418,19.76
2024-10-27,111,5,41.94
2024-10-29,15,16,44.21
2024-10-30,62,67,36.55
2024-11-01,132,1440,60.33
2024-11-01,195,58,38.6
2024-05-05,145,315,26.16
2024-05-06,39,60,42.22
2024-05-07,16,30,43.52
2024-05-08,10,108,27.03
2024-05-10,55,26,54.68
2024-05-11,125,723,16.34
2024-05-12,148,1418,18.4
2024-05-12,180,20,26.07
2024-05-12,167,20,25.3
2024-05-12,31,4,44.65
2024-05-13,45,282,22.42
2024-05-14,158,1321,17.76
2024-05-18,60,13,37.14
2024-05-19,69,27,41.04
